Work,Date
Water cooler tray come out T-21,2018-10-07 00:00:00
Pipe leakage T-23,2018-10-07 00:00:00
Water not cooling of water cooler Mess B,2018-10-07 00:00:00
fan make noise room no.212,2018-10-07 00:00:00
fan moving chance to fall down room no.521,2018-10-08 00:00:00
tubelight not working room no.637,2018-10-08 00:00:00
Water not cooling of water cooler Mess B,2018-10-09 00:00:00
socket not working room no.603,2018-10-18 00:00:00
Water not cooling of water cooler T-73,2018-10-22 00:00:00
Pipe leakage T-41,2018-10-22 00:00:00
water cooler valve not function properly T-22,2018-10-22 00:00:00
Water not come from water cooler T-23,2018-10-22 00:00:00
Water not come from water cooler T-13,2018-10-22 00:00:00
Water not cooling of water cooler Mess B,2018-10-22 00:00:00
fan is not working room no.305,2018-10-22 00:00:00
t-23 no light room no. 240,2018-10-23 00:00:00
tubelight not working room no.727,2018-10-23 00:00:00
tubelight not working room no.335,2018-10-24 00:00:00
socket not working room no.224,2018-10-25 00:00:00
tubelight not working room no.111,2018-10-26 00:00:00
Fan not working properly room no. 714,2018-10-26 00:00:00
socket not working room no.224,2018-10-26 00:00:00
socket not working room no.211,2018-10-27 00:00:00
Regulator not working  ,2018-10-06 00:00:00
Fan & regulator not working ,2018-10-07 00:00:00
fan  not working ,2018-10-08 00:00:00
Tube light not working ,2018-10-08 00:00:00
Regulator not working  ,2018-10-09 00:00:00
fan not working ,2018-10-10 00:00:00
fan & light not working ,2018-10-10 00:00:00
Switch of fan not working ,2018-10-11 00:00:00
Room wiring problem ,2018-10-14 00:00:00
Room wiring problem ,2018-10-14 00:00:00
Room wiring problem ,2018-10-16 00:00:00
light problem in room,2018-10-20 00:00:00
fan not working ,2018-10-21 00:00:00
Regulator not working  ,2018-10-22 00:00:00
light problem in room,2018-10-22 00:00:00
light not working proparly ,2018-10-22 00:00:00
Regulator not working  ,2018-10-24 00:00:00
fan not working ,2018-10-24 00:00:00
light not working proparly ,2018-10-25 00:00:00
Sound in fan,2018-10-25 00:00:00
fan regulator not working ,2018-10-25 00:00:00
fan regulator not working ,2018-10-25 00:00:00
fan regulator not working ,2018-10-25 00:00:00
Tube light not working ,2018-10-26 00:00:00
fan regulator not working ,2018-10-26 00:00:00
fan regulator not working ,2018-10-26 00:00:00
fan regulator not working ,2018-10-26 00:00:00
Electrical board & fan not working ,2018-10-26 00:00:00
fan not working ,2018-10-26 00:00:00
Regulator not working  ,2018-10-26 00:00:00
wtare cooler repairing & servecing G- Floor,2018-10-03 00:00:00
wtare cooler repairing & servecing 2nd floor,2018-10-03 00:00:00
wtare cooler repairing & servecing 1 st floor,2018-10-03 00:00:00
wtare cooler filter replacement room no 169,2018-10-04 00:00:00
wtare cooler filter replacement room no 25,2018-10-04 00:00:00
wtare cooler filter replacement room no 145,2018-10-04 00:00:00
wtare cooler filter replacement room no 169,2018-10-04 00:00:00
"Water cooler gas chrging , filter replace & etc 181",2018-10-04 00:00:00
wtare cooler filter replacement room no 193,2018-10-04 00:00:00
wtare cooler filter replacement mess,2018-10-05 00:00:00
Tank service & filter wash all water cooler ,2018-10-24 00:00:00
Tank service & filter wash all water cooler ,2018-10-24 00:00:00
fan not working ,2018-10-01 00:00:00
fan regulator not working ,2018-10-01 00:00:00
Power fluetuation,2018-10-01 00:00:00
fan not working & Replaced ,2018-10-02 00:00:00
fan not working & Replaced ,2018-10-02 00:00:00
fan not working & Replaced ,2018-10-02 00:00:00
fan regulator not working ,2018-10-03 00:00:00
fan & switch board not working ,2018-10-04 00:00:00
 Switch board & fan not working ,2018-10-06 00:00:00
fan regulator not working ,2018-10-06 00:00:00
Switch board need to be replacement ,2018-10-07 00:00:00
Light not proper ,2018-10-09 00:00:00
Switch need to be replacement ,2018-10-09 00:00:00
fan not working ,2018-10-09 00:00:00
fan not working ,2018-10-10 00:00:00
fan not working ,2018-10-11 00:00:00
No electicity ,2018-10-11 00:00:00
fan not working & Replaced ,2018-10-11 00:00:00
fan & light not working ,2018-10-17 00:00:00
Tubelight not working ,2018-10-17 00:00:00
Switch board need to be replacement ,2018-10-17 00:00:00
No electicity ,2018-10-17 00:00:00
fan not working & Replaced ,2018-10-19 00:00:00
fan not working ,2018-10-21 00:00:00
fan regulator not working ,2018-10-22 00:00:00
No electicity ,2018-10-22 00:00:00
No electicity ,2018-10-22 00:00:00
No electicity ,2018-10-22 00:00:00
No electicity ,2018-10-22 00:00:00
fan not working ,2018-10-22 00:00:00
fan not working ,2018-10-22 00:00:00
Geezer not working no water comming out ,2018-10-22 00:00:00
fan regulator not in room,2018-10-22 00:00:00
fan regulator not working ,2018-10-23 00:00:00
fan regulator & socket not working ,2018-10-23 00:00:00
3 phase power not comming ,2018-10-23 00:00:00
wiring short ,2018-10-23 00:00:00
fan regulator replced ,2018-10-23 00:00:00
Tubelight not working ,2018-10-23 00:00:00
Fan not working ,2018-10-24 00:00:00
fan regulator & socket not working ,2018-10-25 00:00:00
No electicity ,2018-10-25 00:00:00
No electicity ,2018-10-25 00:00:00
fan regulator not working ,2018-10-25 00:00:00
fan regulator not working ,2018-10-26 00:00:00
Socket not working ,2018-10-27 00:00:00
fan regulator not working & replaced ,2018-10-28 00:00:00
fan regulator not working ,2018-10-28 00:00:00
fan regulator & Tube light not working ,2018-10-28 00:00:00
fan regulator & Tube light not working ,2018-10-28 00:00:00
fan regulator not working ,2018-10-01 00:00:00
Sparking ,2018-10-02 00:00:00
fan not working ,2018-10-03 00:00:00
No electicity ,2018-10-04 00:00:00
Switch not working ,2018-10-04 00:00:00
Batroom light not working ,2018-10-06 00:00:00
fan regulator not working ,2018-10-06 00:00:00
fan not working ,2018-10-08 00:00:00
fan not working ,2018-10-08 00:00:00
fan regulator not working ,2018-10-16 00:00:00
fan regulator not working ,2018-10-20 00:00:00
fan not working ,2018-10-21 00:00:00
No electicity ,2018-10-21 00:00:00
fan regulator not working ,2018-10-16 00:00:00
fan regulator not working ,2018-10-22 00:00:00
fan regulator not working ,2018-10-22 00:00:00
fan regulator not working ,2018-10-22 00:00:00
fan regulator not working ,2018-10-22 00:00:00
fan not working ,2018-10-23 00:00:00
fan not working ,2018-10-23 00:00:00
tube light not working ,2018-10-23 00:00:00
water cooler repairing & servicing    G-floor 226,2018-10-22 00:00:00
water cooler repairing & servicing  1st floor 333,2018-10-22 00:00:00
water cooler repairing & servicing 1st floor 333,2018-10-22 00:00:00
water cooler repairing & servicing 2nd floor 342,2018-10-22 00:00:00
water cooler repairing & servicing 2nd floor 336,2018-10-22 00:00:00
servicing  AG 200 G-floor,2018-10-22 00:00:00
water cooler repairing & servicing   ,2018-10-11 00:00:00
water cooler repairing & servicing   ,2018-10-12 00:00:00
water cooler Tank servicing  1st floor ,2018-10-20 00:00:00
water cooler Tank servicing  2nd st floor ,2018-10-20 00:00:00
water cooler Tank servicing  Mechanical workshop  MED ,2018-10-26 00:00:00
water cooler Tank servicing  Mechanical workshop  MED ,2018-10-26 00:00:00
Repairing of street light & fixing of poles in Hostel ,2018-10-27 00:00:00
Repairing of street light & fixing of poles in Hostel ,2018-10-28 00:00:00
Repairing of street light & fixing of poles in Hostel ,2018-10-28 00:00:00
fixing of street light in poles ,2018-10-29 00:00:00
Repairing of High Mast street light in Hostel ,2018-10-30 00:00:00
Repairing of High Mast street light in Hostel ,2018-10-30 00:00:00
water cooler Tank servicing  SMS ,2018-10-30 00:00:00
water cooler Tank servicing  Front of CC,2018-10-30 00:00:00
water cooler Tank servicing  in computer science Dept.,2018-10-30 00:00:00
water cooler Tank servicing  near GW-12 Class rooms ,2018-10-30 00:00:00
water cooler Tank servicing  nearMaterials Lab. (Below stair),2018-10-30 00:00:00
water cooler Tank servicing In front MED Office (below stair),2018-10-31 00:00:00
water cooler Tank servicing In front of Instrumentation Lab (below stair),2018-10-31 00:00:00
water cooler Tank servicing In front of EED office (back gallery of Central Library),2018-10-31 00:00:00
"Request for Class open of M.Tech student in 01 Jan 2019, 6.00 pm to 09.00 pm",2019-01-01 00:00:00
Water supply fitting in Heat Pump Trainer at RAC Lab,2019-01-02 00:00:00
"Request for Class open of NCC student in 07-01-2019 to 11-01-2019, 6.00 pm to 08.00 pm",2019-01-02 00:00:00
Fix curtain in computational lab AMD,2019-01-18 00:00:00
Welding work in experimental setup in hydraulics lab ,2019-01-21 00:00:00
Request for Repairing and cleaning at the Lawn Tennis Courts. ,2019-02-06 00:00:00
Regarding fixing of false ceiling in CIR.,2019-02-12 00:00:00
Two foundation for the experimental setup in Fluid Mech. & Hydraulic lab,2019-02-14 00:00:00
"Problem of white ants and termites in Room No. 3, CAD lab, CED (Opposite Vijay Bank)",2019-02-22 00:00:00
